iter	RMSE
0	979179.892
1	921591.5985
2	871873.975
3	826987.5345
4	783420.9207
5	744278.8261
6	704278.0531
7	672382.9431
8	640134.0734
9	607782.2317
10	581870.9008
11	556718.2754
12	533971.4677
13	513123.0912
14	491806.8823
15	473535.1244
16	457298.3208
17	442285.7634
18	428851.8056
19	415949.0737
20	404738.5107
21	393335.3617
22	383026.0099
23	373872.5914
24	365165.5328
25	357552.2996
26	349747.7402
27	343051.2771
28	336817.8225
29	330734.3738
30	325618.6239
31	320992.965
32	317040.0763
33	313181.6163
34	309220.5227
35	306091.9999
36	302718.822
37	299803.2637
38	297454.7503
39	294704.7483
40	292608.6175
41	290873.5167
42	288955.1962
43	287566.8682
44	286383.6716
45	284924.0675
46	283702.6431
47	282758.0997
48	281510.798
49	280579.0286
50	279675.7819
51	278849.1018
52	278042.9412
53	277376.1091
54	276789.4111
55	276207.1247
56	275790.8178
57	275261.5873
58	274781.7487
59	274373.3867
60	274032.1797
61	273693.3069
62	273405.1145
63	273064.7212
64	272818.6281
65	272471.5207
66	272237.9439
67	272009.6863
68	271795.5153
69	271667.637
70	271554.1994
71	271455.0256
72	271278.6494
73	271022.3205
74	270850.6957
75	270763.174
76	270556.7331
77	270345.3827
78	270243.2259
79	270081.209
80	269953.1694
81	269817.0114
82	269663.7687
83	269538.9352
84	269420.2891
85	269300.4606
86	269150.1052
87	269026.3326
88	268942.9988
89	268836.6923
90	268769.4903
91	268692.8304
92	268660.3939
93	268578.1785
94	268492.0457
95	268404.862
96	268347.7233
97	268285.8495
98	268222.0746
99	268150.5642
100	268104.3209
101	268044.6582
102	268013.1933
103	267943.4717
104	267883.7447
105	267836.9043
106	267769.4382
107	267730.6945
108	267688.2004
109	267635.5127
110	267592.1477
111	267549.3838
112	267507.7294
113	267463.4179
114	267425.3286
115	267381.3453
116	267346.644
117	267316.5587
118	267290.1893
119	267268.7535
120	267236.7662
121	267213.3158
122	267185.0165
123	267158.3655
124	267136.4566
125	267110.5014
126	267088.4547
127	267068.9508
128	267044.6453
129	267021.6473
130	266999.882
131	266982.9564
132	266960.5842
133	266946.189
134	266929.8718
135	266917.0852
136	266898.5417
137	266878.2834
138	266860.6557
139	266844.6953
140	266829.9227
141	266811.7195
142	266795.6213
