iter	Passed	Remaining
0	7	7342
1	10	5144
2	13	4366
3	16	4054
4	20	4094
5	23	3908
6	30	4273
7	35	4454
8	39	4364
9	60	5961
10	72	6537
11	82	6821
12	92	7043
13	107	7553
14	110	7247
15	118	7305
16	121	7012
17	123	6764
18	126	6540
19	132	6487
20	137	6395
21	143	6372
22	147	6249
23	150	6140
24	154	6020
25	156	5872
26	159	5759
27	163	5681
28	166	5564
29	169	5465
30	171	5355
31	173	5252
32	176	5172
33	180	5118
34	182	5038
35	184	4952
36	187	4871
37	189	4798
38	192	4735
39	195	4686
40	199	4669
41	202	4608
42	204	4547
43	206	4487
44	211	4485
45	215	4462
46	217	4408
47	219	4358
48	221	4305
49	225	4288
50	229	4271
51	232	4244
52	235	4207
53	239	4191
54	243	4177
55	246	4157
56	251	4163
57	255	4153
58	259	4145
59	263	4121
60	266	4094
61	269	4072
62	274	4082
63	277	4061
64	280	4034
65	282	4002
66	288	4013
67	291	4001
68	294	3978
69	297	3958
70	300	3928
71	304	3921
72	306	3896
73	309	3867
74	311	3837
75	313	3809
76	318	3817
77	321	3794
78	323	3768
79	325	3742
80	327	3715
81	329	3692
82	332	3673
83	335	3662
84	338	3638
85	340	3615
86	342	3593
87	344	3575
88	347	3553
89	351	3555
90	354	3539
91	356	3520
92	359	3505
93	361	3484
94	365	3477
95	367	3461
96	369	3444
97	372	3424
98	374	3408
99	376	3389
100	379	3373
101	382	3366
102	384	3349
103	386	3333
104	389	3316
105	391	3300
106	393	3284
107	397	3283
108	399	3267
109	402	3258
110	406	3253
111	412	3267
112	415	3258
113	418	3256
114	422	3248
115	424	3236
116	429	3240
117	433	3236
118	435	3224
119	438	3212
120	440	3200
121	445	3208
122	449	3202
123	451	3191
124	454	3180
125	457	3175
126	462	3175
127	464	3165
128	467	3153
129	469	3145
130	473	3140
131	477	3143
132	482	3143
133	485	3137
134	489	3136
135	493	3132
136	526	3318
137	536	3351
138	559	3464
139	561	3450
140	564	3437
141	566	3425
142	571	3422
143	575	3423
144	581	3426
145	585	3423
146	589	3420
147	592	3409
148	595	3398
149	597	3384
150	599	3370
151	603	3368
152	606	3356
153	609	3345
154	612	3339
155	615	3329
156	617	3314
157	620	3306
158	624	3304
159	626	3291
160	629	3279
161	632	3273
