Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
ABAD FISHERIES,"Kochangadi, Chullickal, Kochi, Kerala 682002, India",Kerala,682002,5109702,5314820,5244604,6075897,6054924,3769618,4065985,4882866,5722081,Kochi,Ernakulam,9.957255233,76.25402237,0,5720550.472,5721572.112,5720649.395,5721412.696,5721474.768
ABM MARINE PRODUCTS,"19/2084-E, Nambiapuram Rd, Palluruthy, Kochi, Kerala 682006, India",Kerala,682006,461980,352496,549490,1256905,1789051,1459668,2476123,2617996,2059244,Kochi,Ernakulam,9.917652552,76.27326456,0,2060454.913,2058872.796,2058451.689,2055825.394,2056681.101
ACTIVE CHAR PRODUCTS P.LTD.,"Binanipuram, Edayar, Kochi, Kerala 683502, India",Kerala,683502,2458952,2065846,1618043,1164078,2760015,3556055,3526565,4538145,4504002,Paravur,Ernakulam,10.08769256,76.30506273,0,4504399.274,4503594.311,4502099.03,4501277.974,4502488.697
AGAPPE DIAGNOSTICS LTD.,"Agappe Hills, Pattimattom PO, Kochi, Kerala 683562, India",Kerala,683562,1185,8412,9937,20185,72695,107682,139982,92458,167822,Aluva,Ernakulam,10.03416477,76.42900358,0,169995.1719,169430.5545,168751.7206,166998.7102,170082.5526
AKAY FLAVOURS & AROMATICS LTD.,"Akanadu, Mudakuzha P.O, Kurichilakodu, Akanad, Kochi, Vengoor West, Kerala 683546, India",Kerala,683546,1386051,1350224,1173974,1052759,1091409,746178,0,0,0,Kunnathunad,Ernakulam,10.1428569,76.52744881,0,0,973.0839662,771.6371993,442.8163647,704.0322098
ALAN TECH INDISTRIAL SOLUTIONS,"Mookkannoor Ezhattumugham Rd, Mookkannoor, Kerala 683577, India",Kerala,683577,29970,36866,4083,15260,23660,15818,9775,18465,34075,Aluva,Ernakulam,10.23616054,76.41592248,0,34633.6691,34285.2663,33872.21113,33797.92708,32920.07157
ALBERTS ARTS COLLECTIONS,"X746+P3V, Jew Town Rd, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",Kerala,682002,75,300,90,0,100,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,505.7233583,495.4369005,490.9172082,0,200.0906009
ALLEPPEY BALERS P.LTD.,"Alappuzha, Kerala, India",Kerala,682002,5312,0,0,0,27758,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,0,286.4874468,0,1893.479338,177.4623956
ANASWARA OFFSET P.LTD,"Edappally Raghavan Pillai Road, Junction, Perandoor, Elamakkara, Kochi, Kerala 682026, India",Kerala,682026,5240,1787,3065,1023,6944,5589,2133,124,8580,Ernakulam,Ernakulam,10.01621267,76.28882021,0,9775.803361,9421.700617,8861.135363,7528.668611,6604.760322
ANJIPARAMBIL ASSOCIATES,"Parambithara Rd, Panampilly Nagar, Kochi, Kerala 682036, India",Kerala,682036,844,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.959980296,76.29498357,0,476.8222361,0,29.89883618,0,817.3033715
