Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
BABIN TECHNOLOGIES,"5V2R+RX3, Kakkanchery, Chelambra, Kerala 673636, India",Kerala,673636,1912,1593,7417,9321,0,0,10508,4131,680,Tirurangadi,Malappuram,11.11847254,75.89196135,3,610.0625671,615.3804147,626.4028411,606.2632974,627.8351286
CHETHANA PHARMACEUTICALS,"X6CJ+F69, Shanti Nagar, Perintalmanna, Kerala 679322, India",Kerala,679322,4455,10667,5095,0,0,0,0,0,0,Perinthalmanna,Malappuram,10.97792925,76.22854857,3,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
FOCUS APPARELS,"AV Building, Cherattukuzhi Road, Down Hill, Malappuram, Kerala 676519, India",Kerala,676519,15887,17386,2342,3200,740,0,1322,0,0,Ernad,Malappuram,11.05071221,76.03817599,3,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
FOOT WELL EXIM,"Aravankara - Mini Ootty - Arimbramala Rd, Pookkottur, Kerala 676517, India",Kerala,676517,35874,0,24684,35365,87075,104408,257905,79068,0,Ernad,Malappuram,11.08187811,76.06632697,3,0,0,7.772894936,41.00371934,0
GRIPPO POLYMERS,"XXX7+GXF, Edappally - Panvel Hwy, Kerala 676508, India",Kerala,676508,3223,0,0,0,0,0,0,0,0,Tirurangadi,Malappuram,11.05431333,75.93619846,3,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
HYKA POLYURETHANELS,"23G4+J3V, Malappuram, Kerala 676528, India",Kerala,676528,62500,20334,11495,0,0,0,0,0,0,Tirurangadi,Malappuram,11.02940632,76.03106219,3,2.19517388,8.31181606,6.007486277,0.615047547,1.304587614
INSTITUTE OF MOBILE PHONE TECHNOLOGY P.LTD.,"3W93+54W, Chemmad-Thalappara Rd, Muttichira, Moonniyur, Kerala 676311, India",Kerala,676311,525,334,0,0,0,0,0,0,0,Tirurangadi,Malappuram,11.06098252,75.89344396,3,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
KOTTACKAL SURGICALS,"Cholayil Tower, Parappur, Main Rd, Kottakkal, Kerala 676503, India",Kerala,676503,4486,10745,0,6549,980,13518,2220,9260,3440,Tirur,Malappuram,10.99830405,76.01255697,3,3562.180661,3563.304655,3575.971433,3545.209211,3569.032126
LAMIT CERAMICS,"school padi, Pathapiriyam, Manjeri, Kerala 676123, India",Kerala,676123,85,0,0,0,0,0,0,0,0,Ernad,Malappuram,11.15914023,76.13659382,3,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
MALIYAKKAL HANDICRAFTS,"Maliyekkal, Kerala 676525, India",Kerala,676525,2175,3050,4499,590,0,150,160,0,0,Nilambur,Malappuram,11.17643197,76.32507196,3,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
MARJAN EXPORTS,"Jubilee Rd, Pallippuram, Angadipuram, Perintalmanna, Kerala 679322, India",Kerala,679322,224600,0,0,0,0,0,0,0,0,Perinthalmanna,Malappuram,10.97792925,76.22854857,3,382.149277,0,114.496202,0,252.4116048
PANDIKKAD TRADERS,"Pandikkad, Kerala 676521, India",Kerala,676521,1122558,2137137,4038108,4285914,3875733,4661616,6565141,6200472,8403501,Ernad,Malappuram,11.10610616,76.2180062,3,9896786.515,9980099.484,9943571.089,9968679.51,9929713.007
SAFAR RUBBERS,"5VHR+J8C, Neelangoth, Kerala 673637, India",Kerala,673637,8022,0,0,0,0,0,0,0,0,Ernad,Malappuram,11.17386345,75.90456773,3,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
SHARAFIYA TRADING,"Eriyad, Porur, Kerala 679328, India",Kerala,679328,91072,130225,164816,96762,119042,173892,251711,207219,141507,Nilambur,Malappuram,11.18633304,76.23256802,3,141882.8216,141693.4118,141599.3308,141352.049,141855.8646
SONA EXPORTERS,"P2MW+H75, Changaramkulam, Kerala 679591, India",Kerala,679591,615507,638491,538235,527126,572348,409197,385798,526980,546689,Ponnani,Malappuram,10.73268804,76.05281177,3,553808.4214,554695.169,555676.1561,550526.34,558534.3273
TRENDZ FURNITURE WORLD,"327G+XWF, Oorakam, Kerala 676519, India",Kerala,676519,3129,0,0,0,0,0,0,0,0,Ernad,Malappuram,11.05071221,76.03817599,3,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
AIFFA PLASTICS,"BUILDING NO.13 PEEKEYZ TOWER ROOM NO.130-133 GROUND FLOOR KURIYODAM - AYIKKARAPPADI P.O, Kerala 673637, India",Kerala,673637,0,43859,0,0,0,0,11144,18938,0,Ernad,Malappuram,11.17386345,75.90456773,3,8.733384641,7.975534157,9.132408295,7.180527008,7.910320837
LOHASHILPI,"W7J5+G4W, Anamangad, Aliparamba, Kerala 679357, India",Kerala,679357,0,7951,0,1950,6588,5435,1205,2464,0,Perintalmanna,Malappuram,10.94409734,76.30212905,3,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
ORBIZ AUTOMOTIVEZ,"Ernad Taluk, Plot No 23/A, Inkel City Rd, Panakkad, Malappuram, Kerala 676519, India",Kerala,676519,0,460,0,932,3048,1280,5629,201,72104,Ernad,Malappuram,11.05071221,76.03817599,3,72150.71417,72283.27103,72076.21623,72087.70996,72054.56285
PARISONS FOODS PVT LTD,"Kinfra Industrial Park, Kakkanchery, Kerala 673634, India",Kerala,673634,0,3499919,801050,0,0,86395,30675,364174,272860,Tirurangadi,Malappuram,11.14419871,75.88203878,3,220864.5221,192634.5744,174681.1236,172226.7068,183155.4413
MALABAR NATURAL FOODS P.LTD.,"Plot No. 26, Kinfra Techno Industrial Park, Chelembra, P.O, Kakkanchery, Malappuram, Kozhikode, Kerala 673636, India",Kerala,673636,0,0,149323,244879,352924,439108,540245,586607,592797,Tirurangadi,Malappuram,11.11847254,75.89196135,3,597737.5034,595008.7999,596473.5994,597778.0716,599263.5751
POOMAS TRADE LINKS,"Tanur Madathil Rd, near Stadium, Thazhepalam, Tirur, Kerala 676107, India",Kerala,676107,0,0,502,0,0,0,0,0,0,Tirur,Malappuram,10.9207365,75.91594423,3,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
SURYA TOOLS CENTRE,"Vyabharabavan Bldg. Ground floor NH road, Dt, Puthanathani, Kerala 676552, India",Kerala,676552,0,0,4730,6869,10877,141,0,1275,1532,Tirur,Malappuram,10.90293421,76.05797083,3,1579.269118,1572.360156,1602.769262,1555.68395,1574.351407
TIRUR COCONUT TRADERS,"WWMP+M2M, Thalakkadathur, Tirur, Kerala 676103, India",Kerala,676103,0,0,28000,56000,0,84000,0,0,0,Tirur,Malappuram,10.92247123,75.95460782,3,43.45009614,29.06341741,0,6.851910006,20.76260079
UNICLEAN HYGIENE SOLUTIONS,"United tower 2nd floor .opposit highway hypermarket, Mannarkkad Rd, KSHB Colony, Perintalmanna, Kerala 679322, India",Kerala,679322,0,0,56895,0,1658,10989,27250,124131,91207,Perinthalmanna,Malappuram,10.97792925,76.22854857,3,91286.92375,91180.63829,91291.51689,91111.79941,91046.64843
CALICUT CARGO SERVICES,"Calicut Airport Rd, Padinharathara, Karipur, Kerala 673647, India",Kerala,673647,0,0,0,17450,0,0,0,0,0,Tirurangadi,Malappuram,11.12038804,75.93486729,3,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
