Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
ALPHONSA CASHEW INDUSTRIES,"Puthoor, Kerala 691507, India",Kerala,691507,1878064,1194190,1240144,1312388,1547128,902088,943792,1019626,1298604,Kottarakkara,Kollam,9.043139252830189,76.7161006773585,0,1298604.000000008,1298604.0000000002,1298604.0000000051,1298604.0000000128,1298604.000000002
ANGEL CASHEWS,"2QHX+CR5, Thalavoor, Kerala 691560, India",Kerala,691560,15876,0,0,0,0,0,0,0,0,Kottarakara,Kollam,9.04378430952381,76.78092363809523,0,0.0,7.1947275897147e-11,0.0,0.0,0.0
AVLA NETTOS EXPORTS,"WGJW+H82, Neendakara - Chinnakkada Rd, Sakthikulangara North, Kollam, Kerala 691581, India",Kerala,691581,1042821,1546705,1663803,2583904,3417441,1817234,2678875,3180858,2720672,Kollam,Kollam,8.928226436363635,76.54678488181818,0,2720672.000000015,2720672.0,2720672.000000008,2720672.000000027,2720672.0000000037
AYKARA PHARMACEUTICALS,"2M96+9MP, Moonnumukku - Uppoodu Road, Mathilakom, Kizhakkekallada, Kerala 691502, India",Kerala,691502,320,980,0,1210,376,0,0,0,0,Kollam,Kollam,9.008392784545457,76.65603456545455,0,0.0,8.383150834150767e-11,0.0,0.0,0.0
BETHANYA CASHEW COMPANY,"Mavady Post, Enathu Puthoor Rd, Kerala 691507, India",Kerala,691507,238644,222831,171636,138504,213504,138380,161054,210876,238921,Kottarakkara,Kollam,9.043139252830189,76.7161006773585,0,238921.00000000003,238920.9999999997,238921.0000000004,238921.00000000023,238920.99999999988
BETHSAIDA CASHEW COMPANY,"Kollam Kerala, Kerala 691507, India",Kerala,691507,190512,127008,188760,172334,216636,142140,209092,173644,189970,Kottarakkara,Kollam,9.043139252830189,76.7161006773585,0,189970.00000000023,189969.9999999997,189970.00000000003,189970.0,189969.9999999997
BISMILLAH AGRI COMMODITIES,"HMD BUILDING, 18/1640, Karicode, Koikkal, Kollam, Kerala 691004, India",Kerala,691004,42000,0,0,0,0,0,0,0,0,Kollam,Kollam,8.904030673684211,76.62197661052632,0,0.0,4.6665418690163776e-11,0.0,0.0,0.0
CHANDRA CASHEW FACTORY,"2PCC+JGV, Thevalapuram, Neduvathoor, Kerala 691507, India",Kerala,691507,332520,360768,314892,90876,77326,0,60000,30000,90000,Kottarakkara,Kollam,9.043139252830189,76.7161006773585,0,89999.99999999978,90000.00000000016,90000.00000000052,89999.99999999924,89999.99999999981
CHARLY FISHERIES,"WGPV+RXG, Neendakara, Kollam, Kerala 691582, India",Kerala,691582,1372644,1918042,2273976,3775798,3277071,1379848,1802697,1623207,2202798,Karunagapally,Kollam,8.9475339,76.53934165,0,2202798.000000016,2202797.9999999995,2202798.000000005,2202798.000000025,2202798.000000004
EMMANUEL CASHEW INDUSTRIES,"WRP4+F59, Konnathu Mukku - Mathayi Mukku Rd, Chepra, Kerala 691520, India",Kerala,691520,892668,624528,108504,30000,0,0,0,0,0,Kottarakkara,Kollam,8.947908536734694,76.79522364897959,0,0.0,0.0,2.5164634408878007e-10,0.0,7.587253179486563e-10
