Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
A.A.NUTS,"WJMW+7F7, Chandanathope, Mamoodu, Kerala 14, India",Kerala,686012,1346288,0,0,0,0,0,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,0.0,0.0,0.0,4.455677493666506e-11
AARGEE ASSOCIATES,"MINI INDUSTRIAL ESTATE, PLOT NO .5, near POLICE STATION, Manarcadu, Kerala 686019, India",Kerala,686019,793,0,0,0,0,0,0,0,0,Kottayam,Kottayam,9.592533289090907,76.58230555090908,0,0.0,8.654405480745659e-11,0.0,0.0,0.0
ADORN GLASS ART,"Near Pampady Gramapanchayth, NH- 220, Pampady Road, Pampady, Kottayam, Pampady, Kerala 686502, India",Kerala,686502,4500,0,0,0,0,0,0,0,0,Kottayam,Kottayam,9.581621149411763,76.63691744941177,0,0.0,8.295655501162569e-11,0.0,0.0,0.0
ANCHUTHENGIL AGRI SUPPLY,"Anchuthengu, Kerala, India",Kerala,686012,14663,6341,20036,18192,39140,36685,21334,33294,25039,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,25038.99999999905,25038.99999999955,25038.999999999283,25038.99999999805,25038.99999999949
ARBEE AGENCIES,"Thattaveli Palam, Velloor, Kerala 686605, India",Kerala,686605,93440,60160,226843,5742,0,0,0,0,0,Vaikom,Kottayam,9.795920142424242,76.44080179242424,0,0.0,5.895796478240546e-10,0.0,0.0,0.0
B.S.RUBBERS,"IX/45-N INDUSTRIAL DEVELOPMENT PLOT, Poovanthuruthu, Kerala 686012, India",Kerala,686012,153709,259888,289433,554904,652883,567040,770860,688116,400656,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,400656.000000002,400655.9999999991,400656.0000000002,400656.0000000033,400656.0000000001
C.R.I.RUBBERS,"XI /799, VIJAYAPURAM, Vadavathoor, Kottayam, Kerala 686010, India",Kerala,686010,146350,66155,156710,145122,146010,124182,58764,0,0,Kottayam,Kottayam,9.590680228,76.56449500800001,0,0.0,0.0,0.0,0.0,0.0
CEAKAY INDUSTRIES,"Ponpuzha, Ithithanam Post, Changanacherry Near Saintgits college, Pathamuttom, Kottayam, Ithithanam, Kerala 686535, India",Kerala,686535,1977574,1545564,1535023,2036325,2587584,2278346,3361076,1726492,2138720,Changanassery,Kottayam,9.479609457894735,76.52609346315789,0,2138720.000000013,2138719.999999998,2138720.0000000065,2138720.000000024,2138720.000000004
CONSOLIDATED WOOD INDUSTRIES,"Chingavanam, Kerala 686007, India",Kerala,686007,68000,117245,116525,105785,184253,506236,859227,85850,209002,Kottayam,Kottayam,9.531553366666667,76.5150448,0,209002.0000000001,209001.9999999988,209001.9999999998,209002.00000000096,209001.9999999999
DOLPHIN RUBBER INDUSTRIES,"Industrial Development Plot, Poovanthuruthu, Kottayam, Kerala 686012, India",Kerala,686012,761554,968567,1314232,2035202,1769972,1954678,2126792,1586599,1508514,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,1508514.0000000102,1508513.999999999,1508514.0000000035,1508514.0000000168,1508514.000000002
DUSTAN WOOD,"Kurichy, Thuruthy, Kerala 686532, India",Kerala,686532,94264,383521,254299,180245,197350,0,14000,0,0,Changanassery,Kottayam,9.502805928070176,76.51869062982456,0,0.0,4.5223989138627065e-11,0.0,0.0,1.6700478216694834e-12
GENERAL RUBBERS,"MGHX+HMC, Industrial Estate Rd, Ettumanoor, Kerala 686631, India",Kerala,686631,162391,223085,2277826,1274609,5940,630418,2075433,2374803,2633256,Kottayam,Kottayam,9.673597835897436,76.55975298397436,0,2633256.000000014,2633256.0000000093,2633256.00000001,2633256.000000018,2633256.000000002
GLENROCK RUBBER PRODUCTS P. LTD.,"Mallikassery, Kerala 686577, India",Kerala,686577,3255796,3770304,3643845,4089577,3886740,3383469,5380919,2875188,3718903,Meenachil,Kottayam,9.640891316,76.737008176,0,3718903.0000000233,3718903.0,3718903.0000000144,3718903.000000044,3718903.000000007
ILLICKAL EXPORTS,"Illikkal Kallu, Illikkal Kallu Rd, Moonnilavu, Poonjar Vadakkekara, Kerala 686586, India",Kerala,686586,378,0,0,0,0,0,0,0,0,Meenachil,Kottayam,9.7493429375,76.78570731875,0,0.0,8.694567671608078e-11,0.0,0.0,0.0
JOSH RUBBERS,"Industrial development Plot, Poovanthuruthu, Kottayam, Kerala 686012, India",Kerala,686012,24320,44800,0,0,0,0,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,5.88016806108683e-11,0.0,0.0,0.0
KANNAN DEVAN HILLS PLANTATIONS,"Kannan Devan Hills, Kerala, India",Kerala,686012,2567669,2264190,2337803,2349653,2534903,1987961,2005218,1681742,1811474,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,1811474.000000014,1811474.0000000007,1811474.000000008,1811474.000000022,1811474.0000000035
KERAL DINESH BEEDI WORKERS,"Kerala, India",Kerala,686012,4373,499,0,0,0,0,0,0,563,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,562.9999999988371,562.9999999995017,562.9999999991787,562.9999999977698,562.9999999994621
MIDAS TREADS (INDIA)P.LTD.,"HP9G+9W5, NH183, Vazhoor, Kerala 686504, India",Kerala,686504,2431232,1411987,518652,241084,157317,218239,0,0,0,Changanassery,Kottayam,9.565303158928572,76.70881164821428,0,0.0,0.0,1.957885366267136e-09,7.558277907230232e-10,1.0813493357779088e-09
MORE COMPUTERS(KERALA)P.LTD.,"Kerala, India",Kerala,686012,100,0,0,0,0,0,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,8.721471500667721e-11,0.0,0.0,0.0
