Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
BABIN TECHNOLOGIES,"5V2R+RX3, Kakkanchery, Chelambra, Kerala 673636, India",Kerala,673636,1912,1593,7417,9321,0,0,10508,4131,680,Tirurangadi,Malappuram,11.11847254,75.89196135,3,680,680,680,680,680
CHETHANA PHARMACEUTICALS,"X6CJ+F69, Shanti Nagar, Perintalmanna, Kerala 679322, India",Kerala,679322,4455,10667,5095,0,0,0,0,0,0,Perinthalmanna,Malappuram,10.97792925,76.22854857,3,0,9.56E-11,0,0,0
FOCUS APPARELS,"AV Building, Cherattukuzhi Road, Down Hill, Malappuram, Kerala 676519, India",Kerala,676519,15887,17386,2342,3200,740,0,1322,0,0,Ernad,Malappuram,11.05071221,76.03817599,3,0,6.71E-11,0,0,0
FOOT WELL EXIM,"Aravankara - Mini Ootty - Arimbramala Rd, Pookkottur, Kerala 676517, India",Kerala,676517,35874,0,24684,35365,87075,104408,257905,79068,0,Ernad,Malappuram,11.08187811,76.06632697,3,0,0,0,0,0
GRIPPO POLYMERS,"XXX7+GXF, Edappally - Panvel Hwy, Kerala 676508, India",Kerala,676508,3223,0,0,0,0,0,0,0,0,Tirurangadi,Malappuram,11.05431333,75.93619846,3,0,8.42E-11,0,0,0
HYKA POLYURETHANELS,"23G4+J3V, Malappuram, Kerala 676528, India",Kerala,676528,62500,20334,11495,0,0,0,0,0,0,Tirurangadi,Malappuram,11.02940632,76.03106219,3,0,5.56E-11,0,0,0
INSTITUTE OF MOBILE PHONE TECHNOLOGY P.LTD.,"3W93+54W, Chemmad-Thalappara Rd, Muttichira, Moonniyur, Kerala 676311, India",Kerala,676311,525,334,0,0,0,0,0,0,0,Tirurangadi,Malappuram,11.06098252,75.89344396,3,0,8.68E-11,0,0,0
KOTTACKAL SURGICALS,"Cholayil Tower, Parappur, Main Rd, Kottakkal, Kerala 676503, India",Kerala,676503,4486,10745,0,6549,980,13518,2220,9260,3440,Tirur,Malappuram,10.99830405,76.01255697,3,3440,3440,3440,3440,3440
LAMIT CERAMICS,"school padi, Pathapiriyam, Manjeri, Kerala 676123, India",Kerala,676123,85,0,0,0,0,0,0,0,0,Ernad,Malappuram,11.15914023,76.13659382,3,0,8.72E-11,0,0,0
MALIYAKKAL HANDICRAFTS,"Maliyekkal, Kerala 676525, India",Kerala,676525,2175,3050,4499,590,0,150,160,0,0,Nilambur,Malappuram,11.17643197,76.32507196,3,0,9.54E-11,0,0,0
