Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
A.M.FISHERIES,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Kerala 688005, India",Kerala,688005,1374800,1961480,2034720,3308895,2385049,1697278,2512818,3724210,3315054,Ambalappuzha,Alappuzha,9.40768399,76.35170703,0,3320661.27,3327103.97,3334188.31,3331083.5,3325607.14
AAZRA MARINE INDUSTRIES,"Bharath Sea Foods Complex, Chandiroor, Alleppey, Kerala 688547, India",Kerala,688547,359290,154585,164533,374660,48000,0,0,0,0,Chandiroor,Alappuzha,9.765011083,76.36738138,0,0,0,0,0,0
ACCELERATED FREEZE DRYING CO LTD.,"Accelerated Freeze Drying Co. Ltd. (AFDC, R7CX+HQ6 P.O, Eramallur Ezhupunna Rd, Eramalloor, Ezhupunna, Kerala 688537, India",Kerala,688537,237764,397922,497486,1190201,1061663,655166,892804,1604885,1791322,Cherthala,Alappuzha,9.82172572,76.30522974,0,1788604.6,1788517.97,1787507.46,1785420.4,1788298.99
ALEX MACHINES,"P838+CP5, Kottaram Jn. Rd, Kadakkarappally, Kerala 688529, India",Kerala,688529,9500,0,0,0,0,0,0,0,0,Cherthala,Alappuzha,9.705020973,76.30966751,0,0,0,0,0,0
ALLAKKAT INTERNATIONAL,"P.O, Kommady, Thumpoly, Alappuzha, Aryad South, Kerala 688008, India",Kerala,688008,7312,25848,20712,108918,364857,267992,185969,145967,246893,Ambalapuzha,Alappuzha,9.521471733,76.3244164,0,244790.28,244976.97,245429.8,244778.27,245195.79
ALLEPPEY CO. LTD.,"Alappuzha, Kerala, India",Kerala,688534,4420479,6209642,5164523,5699132,5264683,4868005,5257371,3189816,2040828,Cherthla,Alappuzha,9.871729377,76.30438504,0,2063337.69,2063889.98,2064026.76,2060103.12,2059073.43
ANCHUTHARA FOOD PRODUCTS,"MLA Rd, Poochakkal, Cherthala, Panavally, Kerala 688526, India",Kerala,688526,125309,148841,235584,133054,23109,194717,97182,76726,66718,Cherthala,Alappuzha,9.806103367,76.35243925,0,66693.51,66810,66933.76,66871.05,66873.18
AQUA GENO EXIM,"V872+GG9, Keltron Rd, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,869736,1312747,1616572,1407420,586870,1100174,2182268,1430007,903955,Cherthla,Alappuzha,9.871729377,76.30438504,0,901840.72,900153.15,902733.2,902553.03,898910.58
ASHJOE COLD CHAIN ESTABLISHMENT,"Road, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,1883,0,0,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,0,0,0,0
ATLANTIC CARE CHEMICALS,"Industrial development plot, Punnapra North, Alappuzha, Kerala 688003, India",Kerala,688003,1197608,1122836,1410666,919697,1150553,829772,1163489,1556112,1200961,Ambalapuzha,Alappuzha,9.468575348,76.33827431,0,1197056.03,1199281.43,1197792.36,1197603.82,1195496.16
BABU COIR WORKS,"Pathirappally Omanappuzha Road, Pattukalam, Alappuzha, Kerala 688522, India",Kerala,688522,952546,788299,930585,1134556,956257,1165199,1539315,1006202,1314481,Ambalapuzha,Alappuzha,9.572168203,76.32190507,0,1310836,1308014.27,1310513.97,1307879.28,1309341.37
BROS INDIA GROUP,"J9C6+WCC, Kayippuram, Muhamma, Kerala 688525, India",Kerala,688525,269601,281284,162195,146602,113391,241360,348723,365227,325570,Cherthala,Alappuzha,9.619357623,76.35883995,0,327983.55,326102.75,326748.3,326282.96,326482.24
BUSTHAN AL WATHANIYA,"P9V4+QVH, Pallipuram, Kerala 688541, India",Kerala,688541,1034734,1111428,1105461,818131,488107,507506,487014,527820,201081,Cherthala,Alappuzha,9.742432095,76.36193387,0,200143.84,200704.71,200526.41,200034.02,200322.19
CAT COIR,"Coir park 1 Thiruvizha North Road, Post, Mayithara, Cherthala South, Kerala 688539, India",Kerala,688539,143863,0,0,0,0,0,0,0,0,Cherthala,Alappuzha,9.664282889,76.34121378,0,0,0,0,0,0
CHARANKATTU COIR MFG.CO.P.LTD.,"AS Road, J84M+GF5, Kanjikuzhy, Shertallay, Kerala 688524, India",Kerala,688524,891951,955612,1131406,1103900,1177853,945297,550028,520763,656219,Cherthala,Alappuzha,9.689101163,76.3328507,0,662946.96,661740.91,661043.58,661614.38,660634.27
CHERUKATTU INDUSTRIES,"V8C7+3QX Cherukattu Industries, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,4773530,3710012,4801189,3224544,1616900,1333679,1467950,758625,556020,Cherthla,Alappuzha,9.871729377,76.30438504,0,555930.86,559382.71,558765.29,556854.74,557756.09
CLASSIC COIR FACTORY,"IV/833, MSP, Valavanad, Pollethai, Alappuzha, Kerala 688522, India",Kerala,688522,1141146,1153699,2037420,1963471,2912157,1792341,4643823,1473757,1759857,Ambalapuzha,Alappuzha,9.572168203,76.32190507,0,1762259.91,1761446.32,1756446.72,1759230.34,1757342.1
COCHIN COSMOS FOODS LTD.,"Kochi, Kerala, India",Kerala,688524,131200,178220,64000,63000,122600,50000,103000,56125,75000,Cherthala,Alappuzha,9.689101163,76.3328507,0,74778.11,74923.48,74761.02,74862.66,74849.19
