Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
-----,269326164.0,132323221.0,247538952.0,299976286.0,130701409.0,173407997.0,225454185.0,263902007.0,264852642.0,291536007.83243954,291535266.7933747,291534017.8586022,317993975.0516735,317994059.4788882
A ONE BOARDS AND PANELS,81067.0,82749.0,128810.0,131237.0,234818.0,121459.0,136073.0,71647.0,244702.0,247587.7821516228,258867.5569985725,241523.1018027217,246029.7397829328,243261.5854832132
A.B. MAURI INDIA P. LTD.,1190010.0,1224649.0,1740060.0,1601280.0,2153580.0,1715002.0,2847975.0,1327854.0,1120998.0,1140146.476254359,1171418.3806958268,1190669.94877868,2120496.68490012,2104064.378395412
A.V. THOMAS & COMPANY LTD.,2450.0,134238.0,274130.0,42894.0,214384.0,183703.0,157215.0,209260.0,231693.0,267107.48342702584,267784.7780826661,257999.2533748192,216449.479447242,207295.85156331363
ABAD EXIM P. LTD.,47845.0,191917.0,78170.0,403928.0,865137.0,387302.0,505918.0,1022676.0,457873.0,500820.09512931993,493515.8779011394,489539.8176295477,856892.9744636253,840855.1902607641
ABC BUILDWARES (INDIA) PVT LTD,172438.0,648807.0,1386095.0,404321.0,645575.0,364549.0,182670.0,123120.0,42500.0,16607.134811456664,17809.318593431497,17652.68362010049,622471.0108909106,629980.4771921554
ABKUR ENTERPRISES,502997.0,618753.0,582213.0,911745.0,2117417.0,1899906.0,1461824.0,877112.0,1151157.0,1113641.7691482457,1131630.2268303374,1136098.999030816,2110495.780527643,2081541.57701089
ACA POLYMERS,365099.0,425054.0,266660.0,288570.0,689550.0,956570.0,683850.0,176764.0,448080.0,420608.15937440936,412409.79709456215,417841.8628785473,639732.4957245615,637686.6656203032
ACCELERATED FREEZE DRYING CO. LTD.,44688.0,42165.0,42016.0,72173.0,93810.0,186140.0,54567.0,62447.0,62653.0,82319.56951261393,75537.47991403332,75317.35034386045,89758.59513390262,95237.84110740141
ACE FINEPACK P. LTD.,136097.0,53606.0,56520.0,97544.0,80273.0,96886.0,118756.0,76040.0,80343.0,47906.86717179057,44948.04380643577,57079.488358882256,72825.17160545243,77786.64870233496
ADITYA DRUG LINES,316808.0,444688.0,439113.0,409104.0,281146.0,182439.0,273221.0,362487.0,235524.0,264203.8668859068,267727.089498993,254976.59894232603,300916.3223850556,292399.7654586799
ADORN METALS IMPORT AND EXPORT COMPANY,113755.0,153439.0,208391.0,203263.0,148247.0,112133.0,86426.0,233209.0,99455.0,144084.0364010719,147217.94354987564,146034.54859006056,134128.84588882898,146027.2507221331
AGAPPE DIAGNOSTICS LTD.,1818.0,51163.0,68005.0,35385.0,43545.0,13920.0,81841.0,55329.0,66372.0,59755.203998158686,67469.29970394121,66404.17150681338,48477.886098524206,50165.95276691415
AGFA MARKETING,1139607.0,1819185.0,1426161.0,1175522.0,1268819.0,725964.0,273582.0,17520.0,124920.0,144517.84926567867,131418.82712946145,126930.07684970426,1229355.714357906,1216049.195246355
AIS TRADERS,353155.0,507074.0,572981.0,662212.0,367528.0,296285.0,207254.0,394440.0,787714.0,774626.9512670294,726928.300298346,747197.8306621128,349304.117513006,369783.0794548276
AKAY SPICES P. LTD.,390472.0,581600.0,510547.0,356353.0,575764.0,407976.0,345002.0,451061.0,293076.0,350172.1967499929,340514.3993574771,334961.1014195129,579167.6330413434,574931.2470768105
AL BADR SEAFOOD P. LTD.,219693.0,392531.0,496949.0,296242.0,313404.0,1030467.0,1989334.0,263689.0,21930.0,34780.66798096069,28868.33388504898,26756.07753982849,289205.01912733377,283515.703596813
AL GAYATHRI TRADING CO. PVT. LTD.,383343.0,411871.0,854673.0,488643.0,765846.0,842636.0,823772.0,1343422.0,1383454.0,1395747.691417567,1388618.3604646823,1390423.5062171053,749120.6459470333,742848.9082662774
"AL-FAS TRADING INTERNATIONAL PVT LTD,",2933865.0,4588399.0,9108005.0,4695587.0,7369944.0,3655231.0,2146327.0,1970256.0,4857154.0,4848659.450910682,4839386.975555416,4836008.453348499,7396376.367002052,7425826.984997914
ALLEPPEY CO. LTD.,323714.0,499584.0,420808.0,456286.0,450510.0,279288.0,513920.0,304104.0,294688.0,329861.18772648566,332300.97672789334,334428.15401031915,446306.9439248248,450232.2780472166
