Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
-----,269326164.0,132323221.0,247538952.0,299976286.0,130701409.0,173407997.0,225454185.0,263902007.0,264852642.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
A ONE BOARDS AND PANELS,81067.0,82749.0,128810.0,131237.0,234818.0,121459.0,136073.0,71647.0,244702.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
A.B. MAURI INDIA P. LTD.,1190010.0,1224649.0,1740060.0,1601280.0,2153580.0,1715002.0,2847975.0,1327854.0,1120998.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
A.V. THOMAS & COMPANY LTD.,2450.0,134238.0,274130.0,42894.0,214384.0,183703.0,157215.0,209260.0,231693.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ABAD EXIM P. LTD.,47845.0,191917.0,78170.0,403928.0,865137.0,387302.0,505918.0,1022676.0,457873.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ABC BUILDWARES (INDIA) PVT LTD,172438.0,648807.0,1386095.0,404321.0,645575.0,364549.0,182670.0,123120.0,42500.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ABKUR ENTERPRISES,502997.0,618753.0,582213.0,911745.0,2117417.0,1899906.0,1461824.0,877112.0,1151157.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ACA POLYMERS,365099.0,425054.0,266660.0,288570.0,689550.0,956570.0,683850.0,176764.0,448080.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ACCELERATED FREEZE DRYING CO. LTD.,44688.0,42165.0,42016.0,72173.0,93810.0,186140.0,54567.0,62447.0,62653.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ACE FINEPACK P. LTD.,136097.0,53606.0,56520.0,97544.0,80273.0,96886.0,118756.0,76040.0,80343.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ADITYA DRUG LINES,316808.0,444688.0,439113.0,409104.0,281146.0,182439.0,273221.0,362487.0,235524.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ADORN METALS IMPORT AND EXPORT COMPANY,113755.0,153439.0,208391.0,203263.0,148247.0,112133.0,86426.0,233209.0,99455.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
