Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
-----,269326164.0,132323221.0,247538952.0,299976286.0,130701409.0,173407997.0,225454185.0,263902007.0,264852642.0,270015332.5588022,326492717.8051429,297134341.6704401,350311327.6222596,295191224.584553
A ONE BOARDS AND PANELS,81067.0,82749.0,128810.0,131237.0,234818.0,121459.0,136073.0,71647.0,244702.0,237953.53942904665,239205.94228501208,71949.83922488848,81639.4955216298,243511.2088032155
A.B. MAURI INDIA P. LTD.,1190010.0,1224649.0,1740060.0,1601280.0,2153580.0,1715002.0,2847975.0,1327854.0,1120998.0,1219611.4615439277,2129946.9144605654,1306671.8480117582,1228257.1039025248,1156517.9142267425
A.V. THOMAS & COMPANY LTD.,2450.0,134238.0,274130.0,42894.0,214384.0,183703.0,157215.0,209260.0,231693.0,227569.62805328603,208740.64374161305,210476.00926716207,2824.1747392624407,226853.83126775717
ABAD EXIM P. LTD.,47845.0,191917.0,78170.0,403928.0,865137.0,387302.0,505918.0,1022676.0,457873.0,463900.6656555727,879101.3228251715,1055809.9345020114,50370.97375472847,449170.96218764107
ABC BUILDWARES (INDIA) PVT LTD,172438.0,648807.0,1386095.0,404321.0,645575.0,364549.0,182670.0,123120.0,42500.0,0.0,626622.2323231595,123515.33422299924,152151.2629882952,78237.50368694404
ABKUR ENTERPRISES,502997.0,618753.0,582213.0,911745.0,2117417.0,1899906.0,1461824.0,877112.0,1151157.0,1481188.0999365947,2100690.06945423,838641.6602815668,482813.6432722413,1205038.18027206
ACA POLYMERS,365099.0,425054.0,266660.0,288570.0,689550.0,956570.0,683850.0,176764.0,448080.0,417469.4177822143,684298.6033466709,169703.82785001505,366421.0895504301,449894.6991803994
ACCELERATED FREEZE DRYING CO. LTD.,44688.0,42165.0,42016.0,72173.0,93810.0,186140.0,54567.0,62447.0,62653.0,61810.9262208226,93537.53146589588,62613.910901886855,45143.34563019478,62379.59500531308
ACE FINEPACK P. LTD.,136097.0,53606.0,56520.0,97544.0,80273.0,96886.0,118756.0,76040.0,80343.0,82871.06107826917,79655.77236131001,76093.91553687876,137812.94997123512,81366.98978888016
ADITYA DRUG LINES,316808.0,444688.0,439113.0,409104.0,281146.0,182439.0,273221.0,362487.0,235524.0,241356.2561992396,279414.5004890814,357536.3299752821,327001.6668546899,241140.78070185307
ADORN METALS IMPORT AND EXPORT COMPANY,113755.0,153439.0,208391.0,203263.0,148247.0,112133.0,86426.0,233209.0,99455.0,99639.84216883098,147345.71293821873,224014.0239061268,112795.58297183104,101144.7924586953
AGAPPE DIAGNOSTICS LTD.,1818.0,51163.0,68005.0,35385.0,43545.0,13920.0,81841.0,55329.0,66372.0,64421.360821670045,44051.54789220743,55529.95625194325,2142.8323528039664,65100.56000306214
AGFA MARKETING,1139607.0,1819185.0,1426161.0,1175522.0,1268819.0,725964.0,273582.0,17520.0,124920.0,0.0,1277607.4653979975,10571.095635546852,1163283.439727265,131764.22233218665
AIS TRADERS,353155.0,507074.0,572981.0,662212.0,367528.0,296285.0,207254.0,394440.0,787714.0,760646.7198022944,374654.35945279617,384724.0272528415,350005.3437213603,788517.2431149915
AKAY SPICES P. LTD.,390472.0,581600.0,510547.0,356353.0,575764.0,407976.0,345002.0,451061.0,293076.0,295187.8132794361,573678.8644081211,448125.1147919557,389575.8111892507,298673.0879974437
AL BADR SEAFOOD P. LTD.,219693.0,392531.0,496949.0,296242.0,313404.0,1030467.0,1989334.0,263689.0,21930.0,552802.3230194746,297932.7741324706,270240.1125522993,218705.0806124841,24354.21912528976
AL GAYATHRI TRADING CO. PVT. LTD.,383343.0,411871.0,854673.0,488643.0,765846.0,842636.0,823772.0,1343422.0,1383454.0,1054128.633884231,747455.9274805434,1279018.5860576306,394832.2788973482,1400051.1205497656
"AL-FAS TRADING INTERNATIONAL PVT LTD,",2933865.0,4588399.0,9108005.0,4695587.0,7369944.0,3655231.0,2146327.0,1970256.0,4857154.0,3594170.844037194,6372157.9018571405,767644.4803293692,2907146.489960872,4191429.285341306
ALLEPPEY CO. LTD.,323714.0,499584.0,420808.0,456286.0,450510.0,279288.0,513920.0,304104.0,294688.0,295834.11060349626,443814.3769590018,309935.61633407243,326424.5591565714,296605.42150460853
ALPHA TRADER,588110.0,544754.0,913588.0,1002656.0,987776.0,1129530.0,1502418.0,1671016.0,1556926.0,1657665.3753456378,1005913.967912867,1748190.0401297112,604022.9346034116,1436484.0919659003
ALPHONSA CASHEW INDUSTRIES,2539625.0,1018541.0,280330.0,1930458.0,609573.0,2550365.0,4139521.0,3992731.0,3847159.0,4063604.0384932375,633903.9212857371,3936506.962455733,2314274.603529948,3688657.3217609623
ALQ EXPORTERS,2359350.0,2039030.0,1037280.0,580950.0,3405870.0,4118800.0,897030.0,1940100.0,2012500.0,1514998.954278559,3365673.593992659,2011874.845631695,2698229.84957198,2078118.3553234097
AMAL PLYWOOD,261571.0,1110733.0,1726587.0,1654232.0,1522608.0,1043690.0,760551.0,311708.0,61112.0,1095709.598083564,1502491.3478956576,303797.12712149345,289085.6036756333,57734.16212948551
AMALGAM FROZEN FOODS P. LTD.,35340.0,44110.0,36025.0,16589.0,22829.0,221549.0,97449.0,28262.0,11550.0,11832.27484489188,22651.290343660607,28332.15709088472,34814.357650792044,11688.802782120922
ANNZ COLORS IMPORTES N DISTRIBBTORS,36315.0,41607.0,45220.0,62589.0,95302.0,74401.0,85810.0,151637.0,62331.0,62073.820356689495,96044.94657809976,152407.3290783536,35275.86987996828,62960.11839848279
APOLLO TYRES LTD.,33443983.0,13450774.0,11118567.0,16626352.0,10494582.0,8055723.0,5403274.0,1900962.0,1988199.0,18349146.865792144,32972877.238657966,13929960.894376043,48592962.05023878,18201587.579316813
APPOOS AGENCIES,59548.0,202249.0,164350.0,182140.0,215551.0,325661.0,341275.0,223550.0,291930.0,296332.9272391872,213231.9145016113,225657.8091517137,59074.576698481615,295738.8950427176
ARAFA TRADERS,460224.0,441612.0,214757.0,328920.0,210154.0,159540.0,102695.0,64940.0,85770.0,87307.4853333331,211091.78243103952,65720.1541941497,458241.1655509372,86506.92659567883
ARIHANT BATHWARE,45020.0,13870.0,28096.0,77872.0,142658.0,115987.0,104740.0,152161.0,171030.0,169959.93896946567,142260.36921992587,152573.5111291557,45373.10329733037,170577.49202590654
