Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
-----,269326164.0,132323221.0,247538952.0,299976286.0,130701409.0,173407997.0,225454185.0,263902007.0,264852642.0,214487502.39,174958846.9941999,151896462.06174186,135722922.34999803,147508568.91
A ONE BOARDS AND PANELS,81067.0,82749.0,128810.0,131237.0,234818.0,121459.0,136073.0,71647.0,244702.0,244350.69,244313.39560000025,244214.08071199988,244039.03101696956,234336.07
A.B. MAURI INDIA P. LTD.,1190010.0,1224649.0,1740060.0,1601280.0,2153580.0,1715002.0,2847975.0,1327854.0,1120998.0,1121763.15,1123901.2062000013,1124324.192510002,1125186.7649567735,2152327.78
A.V. THOMAS & COMPANY LTD.,2450.0,134238.0,274130.0,42894.0,214384.0,183703.0,157215.0,209260.0,231693.0,231412.18,231251.1927,231009.9883869998,230906.22467393987,214454.49
ABAD EXIM P. LTD.,47845.0,191917.0,78170.0,403928.0,865137.0,387302.0,505918.0,1022676.0,457873.0,458100.29,457827.4803999996,457811.6303569994,458007.9603811896,865139.98
ABC BUILDWARES (INDIA) PVT LTD,172438.0,648807.0,1386095.0,404321.0,645575.0,364549.0,182670.0,123120.0,42500.0,42539.46,42555.95339999997,42554.74289799997,42556.533556689945,644807.44
ABKUR ENTERPRISES,502997.0,618753.0,582213.0,911745.0,2117417.0,1899906.0,1461824.0,877112.0,1151157.0,1153237.32,1154034.9065999982,1154101.5368939987,1154249.9664703475,2115722.02
ACA POLYMERS,365099.0,425054.0,266660.0,288570.0,689550.0,956570.0,683850.0,176764.0,448080.0,447510.75,447488.0024000001,447291.0052420007,447382.2101074404,689722.1
ACCELERATED FREEZE DRYING CO. LTD.,44688.0,42165.0,42016.0,72173.0,93810.0,186140.0,54567.0,62447.0,62653.0,62648.66,62694.49790000002,62699.9663899999,62710.70181179981,93767.24
ACE FINEPACK P. LTD.,136097.0,53606.0,56520.0,97544.0,80273.0,96886.0,118756.0,76040.0,80343.0,80339.36,80332.21500000007,80334.1479659999,80315.00174614001,80269.6
ADITYA DRUG LINES,316808.0,444688.0,439113.0,409104.0,281146.0,182439.0,273221.0,362487.0,235524.0,235634.98,235874.29430000013,236051.88212700005,236003.27116610043,281201.54
ADORN METALS IMPORT AND EXPORT COMPANY,113755.0,153439.0,208391.0,203263.0,148247.0,112133.0,86426.0,233209.0,99455.0,99469.13,99460.2329,99469.92798200004,99493.44987973996,148144.36
AGAPPE DIAGNOSTICS LTD.,1818.0,51163.0,68005.0,35385.0,43545.0,13920.0,81841.0,55329.0,66372.0,66329.07,66370.89540000008,66369.27199900005,66359.30448841996,43533.36
AGFA MARKETING,1139607.0,1819185.0,1426161.0,1175522.0,1268819.0,725964.0,273582.0,17520.0,124920.0,124975.38,124986.0194000001,124988.06237700024,124994.2218674401,1270010.69
AIS TRADERS,353155.0,507074.0,572981.0,662212.0,367528.0,296285.0,207254.0,394440.0,787714.0,786952.36,786729.5781999993,786464.4683159984,786494.6455492689,367376.36
AKAY SPICES P. LTD.,390472.0,581600.0,510547.0,356353.0,575764.0,407976.0,345002.0,451061.0,293076.0,293346.47,293620.55689999973,293759.6797909995,293761.3857920497,575368.5
AL BADR SEAFOOD P. LTD.,219693.0,392531.0,496949.0,296242.0,313404.0,1030467.0,1989334.0,263689.0,21930.0,21941.03,21957.8616,21971.345397999965,21976.352561809967,313610.37
AL GAYATHRI TRADING CO. PVT. LTD.,383343.0,411871.0,854673.0,488643.0,765846.0,842636.0,823772.0,1343422.0,1383454.0,1385279.64,1387907.3907000006,1387224.2745679992,1389035.2741285108,766155.09
"AL-FAS TRADING INTERNATIONAL PVT LTD,",2933865.0,4588399.0,9108005.0,4695587.0,7369944.0,3655231.0,2146327.0,1970256.0,4857154.0,4821549.46,4810473.573199995,4810925.757259994,4801669.050344949,7399495.8
ALLEPPEY CO. LTD.,323714.0,499584.0,420808.0,456286.0,450510.0,279288.0,513920.0,304104.0,294688.0,294517.24,294452.1697999995,294383.12694499927,294319.82857047976,451022.93
ALPHA TRADER,588110.0,544754.0,913588.0,1002656.0,987776.0,1129530.0,1502418.0,1671016.0,1556926.0,1555181.58,1553581.9369000006,1552511.0164899994,1552229.6482331303,989886.18
ALPHONSA CASHEW INDUSTRIES,2539625.0,1018541.0,280330.0,1930458.0,609573.0,2550365.0,4139521.0,3992731.0,3847159.0,3843882.6,3854066.050300005,3855845.076066002,3848482.107778128,610353.25
ALQ EXPORTERS,2359350.0,2039030.0,1037280.0,580950.0,3405870.0,4118800.0,897030.0,1940100.0,2012500.0,2010447.16,2009821.2335999976,2010033.830830996,2009526.6835405657,3406309.18
AMAL PLYWOOD,261571.0,1110733.0,1726587.0,1654232.0,1522608.0,1043690.0,760551.0,311708.0,61112.0,61143.95,61168.44440000008,61184.380526000095,61173.22065898,1525673.4
AMALGAM FROZEN FOODS P. LTD.,35340.0,44110.0,36025.0,16589.0,22829.0,221549.0,97449.0,28262.0,11550.0,11561.34,11573.1789,11574.47607800002,11580.528665060014,22830.85
ANNZ COLORS IMPORTES N DISTRIBBTORS,36315.0,41607.0,45220.0,62589.0,95302.0,74401.0,85810.0,151637.0,62331.0,62395.36,62445.09420000006,62483.22531100008,62578.60146845993,95251.075
APOLLO TYRES LTD.,33443983.0,13450774.0,11118567.0,16626352.0,10494582.0,8055723.0,5403274.0,1900962.0,1988199.0,1994075.98,2000323.064199998,2003743.126138996,2006131.6412475847,10476946.75
APPOOS AGENCIES,59548.0,202249.0,164350.0,182140.0,215551.0,325661.0,341275.0,223550.0,291930.0,291694.53,291556.8546000002,291226.5989060004,291054.6494011,215635.77
ARAFA TRADERS,460224.0,441612.0,214757.0,328920.0,210154.0,159540.0,102695.0,64940.0,85770.0,85840.45,85920.74830000011,85901.23227900013,85927.04857602011,210137.29
ARIHANT BATHWARE,45020.0,13870.0,28096.0,77872.0,142658.0,115987.0,104740.0,152161.0,171030.0,170954.02,171020.17799999972,171038.7710619996,171029.10074266966,142681.21
AROMATICS INGREDIENTS P. LTD.,607604.0,717699.0,919606.0,632728.0,653607.0,486884.0,487130.0,454988.0,461568.0,461658.85,461775.38780000055,461808.8074740003,462127.9542791798,653985.865
ASHWITH PAPER PRODUCTS,157455.0,289065.0,619497.0,557518.0,182629.0,137429.0,47660.0,1708410.0,1259117.0,1260961.96,1262455.7717999988,1261531.811735999,1262750.9492155518,182754.10529999997
ASHWITH TRADE LINKS & SERVICES,2388773.0,1901571.0,2574321.0,1728909.0,1942891.0,976126.0,1279238.0,2489524.0,1675430.0,1681703.74,1682290.4545,1682566.568565999,1682737.1590333572,1941185.48
ASNA TRADERS,211342.0,223081.0,94223.0,164957.0,305126.0,265550.0,169214.0,186844.0,181566.0,181614.08,181586.77649999995,181524.734169,181574.1899448502,305083.18
ASPINWALL & COMPANY LTD.,65116.0,114623.0,170187.0,450309.0,89958.0,50700.0,25536.0,63221.0,4003331.0,4023177.02,4033087.397099998,4042339.154172993,4046984.000892399,90065.44
ASSOCIATED RUBBER CHEMICALS (KOCHI),55784.0,38500.0,79310.0,203296.0,280482.0,347879.0,342318.0,203850.0,137968.0,138085.25,138162.881,138187.9692299998,138211.49066505994,280570.47
ATHIRA PLYWOOD,798000.0,674229.0,759153.0,509360.0,413378.0,189170.0,309197.0,166000.0,147448.0,147662.61,147704.38639999987,147778.27249699977,147813.89977088,413058.67
ATLANTIC CARE CHEMICALS,170757.0,282490.0,267142.0,335797.0,192203.0,79250.0,101477.0,108432.0,162648.0,162543.24,162514.69310000003,162452.31230799982,162347.94500659005,192095.08
AVT MCCORMICK INGREDIENTS LTD.,2672727.0,3336454.0,3489038.0,2954486.0,4619077.0,3358235.0,2497297.0,2926954.0,1027582.0,1027942.04,1027022.0534000016,1026994.6296840004,1026007.6217308308,4618790.44
AVT NATURAL PRODUCTS LTD.,1933739.0,2549589.0,3153779.0,2757507.0,2406082.0,2467548.0,2075734.0,2320315.0,1317189.0,1315726.22,1312639.9581000004,1308456.1773190012,1306042.0442151718,2401992.99
BABIN TECHNOLOGIES P. LTD.,158415.0,102889.0,111907.0,102303.0,99527.0,58051.0,50155.0,52814.0,97699.0,97628.84,97587.18919999992,97675.13934300002,97710.30286810009,99581.34
BALAJI ENTERPRISES,2177016.0,2055874.0,1579115.0,1440273.0,919673.0,1105427.0,1159757.0,890164.0,621755.0,622373.31,622863.5390000006,623509.0478309996,624022.4794823595,920789.2065999999
BASF INDIA LTD.,361675.0,241879.0,45812.0,6295.0,38941.0,63859.0,150871.0,21044.0,207021.0,206128.85,205800.27230000004,205634.13309599995,205478.0101138898,38985.3767
BATHX BATHWARE INDIA PVT.LTD,794382.0,860758.0,1179771.0,964276.0,844645.0,575040.0,331160.0,288865.0,176640.0,176804.74,176967.0353,177035.16345399988,177069.12133930984,843234.37
BENNETT COLEMAN & CO. LTD.,2263130.0,3959835.0,3674588.0,5206900.0,4475446.0,3274299.0,1200950.0,685417.0,862340.0,863348.45,864727.9793000008,865413.531062001,865797.7516931312,4479082.76
BEST AGENCIES,99430.0,124304.0,117530.0,89870.0,125210.0,27404.0,79850.0,76670.0,176230.0,176182.09,176099.31050000002,176031.11952899984,176009.0296064898,125204.74
BETA HEALTHCARE PRODUCTS P. LTD.,472868.0,134222.0,222131.0,105354.0,592793.0,491148.0,612855.0,320233.0,358439.0,358037.49,357682.98749999964,357591.89447299973,357549.24803769024,592411.09
BHARAT PETROLEIUM CORPN. (KOCHI REFINERY),11890479.0,5510722.0,4231604.0,1146338.0,3903839.0,2005432.0,893467.0,2364953.0,2363885.0,2363499.35,2362498.216599997,2366438.5156069985,2367806.8741717185,3894425.09
BHOOPATHY STEELS (P) LTD.,1301940.0,1802209.0,2023930.0,2631620.0,2180552.0,1383665.0,1083605.0,1344140.0,131180.0,131425.84,131564.0934999999,131598.98495599974,131648.06568266996,2181265.18
BLASTLINE INDIA P. LTD.,12420.0,6250.0,49945.0,29570.0,44501.0,22314.0,39668.0,72961.0,24205.0,24218.01,24226.171099999985,24239.040268,24237.248997580013,44470.29
BODY GEAR INTERNATIONAL P. LTD.,140353.0,147313.0,127190.0,92812.0,112409.0,89421.0,242159.0,311865.0,409751.0,409665.94,409781.1081000002,409904.305579,409918.1385942396,112494.0999
BOS NATURAL FLAVOURS P. LTD.,243589.0,410599.0,270544.0,144066.0,125625.0,411724.0,317004.0,297530.0,258503.0,258923.98,259010.93850000028,259015.63012000063,259153.94515677067,125586.22
BPL MEDICAL  TECHNOLOGIES P. LTD.,148219.0,167686.0,157219.0,44371.0,117101.0,106457.0,34310.0,14192.0,14650.0,14646.79,14653.384000000013,14654.794516000004,14655.55688359998,117069.79
BTC TRADING COMPANY,1831809.0,3389832.0,2963460.0,1833292.0,3136506.0,1509399.0,1714079.0,1507190.0,1553000.0,1551896.09,1550448.4800000014,1549903.604042,1548834.6207221977,3141319.19
C.M.L. BIOTECH P. LTD.,1705.0,6946.0,75084.0,27730.0,11878.0,41873.0,6608.0,3601.0,24316.0,24294.19,24292.762599999973,24286.607944,24283.212859320025,11876.94
CAR CARE ACCESSORIES,2300.0,12250.0,13300.0,16100.0,14477.0,6338.0,10144.0,9680.0,9631.0,9639.24,9650.650399999991,9653.020227000005,9654.370627949997,14457.19
CARBORUNDUM UNIVERSAL LTD.,7572133.0,7623562.0,8432113.0,12531274.0,27235273.0,27916830.0,22285324.0,41897972.0,51912802.0,49571238.57,47219415.88230003,45093919.378535,44377433.20191448,27924020.55
CARNEX TIMBERS PVT LTD,248730.0,167720.0,56209.0,374466.0,303264.0,335950.0,1168779.0,496980.0,469968.0,470530.44,470516.6079,470593.32859800046,470613.2310348404,303174.49
CEETRON TECHNOLOGIES,23973.0,28463.0,22100.0,22576.0,34940.0,18331.0,18505.0,6000.0,11847.0,11844.22,11845.059399999984,11845.890898999993,11844.835777949991,34903.995
CEYENAR CHEMICALS P. LTD.,1805645.0,3008787.0,4305336.0,4950247.0,7401859.0,5708601.0,4830959.0,6067816.0,6307558.0,6345894.59,6368364.217299995,6381614.678023991,6391950.492764968,7414726.81
CHOICE TRADING CORPORATION LTD.,20280.0,87504.0,185270.0,193761.0,410874.0,515373.0,270624.0,387384.0,179907.0,180129.95,180244.4787999998,180288.76514100007,180249.84388125027,410993.63200000004
CHRIS MOTORS,12831.0,45574.0,103024.0,167968.0,137330.0,125069.0,125365.0,75394.0,35550.0,35551.86,35524.85299999996,35522.264457,35495.091326889975,137321.48
CHRIST MARKETING,74420.0,250090.0,55628.0,118092.0,59783.0,2250.0,20721.0,15986.0,12214.0,12239.27,12244.626300000004,12246.810902000014,12252.459655250015,59764.32
CLASSIC FLOOR FURNISHINGS,87105.0,145571.0,81140.0,33990.0,61955.0,70580.0,11040.0,5600.0,11620.0,11614.32,11600.69949999999,11600.598494,11601.013345250009,61976.87800000002
CLASSIC PAINT ROLLERS & ALLIED PRODUCTS,20965.0,14621.0,8531.0,6742.0,6204.0,4810.0,8722.0,20221.0,3500.0,3521.04,3531.407699999998,3536.8109379999987,3537.8976158999985,6198.363
CLASSIC SOLVENTS P. LTD.,172298.0,230274.0,351881.0,197024.0,436934.0,827358.0,557525.0,607974.0,636568.0,637349.46,637594.0738000004,637614.7083629996,638224.4490239789,436703.09
CLASSY THE ANTIQUE DESIGNED FURNITURE,241658.0,222509.0,268069.0,268794.0,276455.0,124639.0,261482.0,193622.0,150654.0,150895.07,150989.89810000014,151101.45627700002,151104.32531629,276366.17
COCHIN MINERALS & RUTILE LTD.,43150709.0,23175991.0,3687080.0,28609231.0,50525810.0,48630430.0,45604050.0,35675342.0,10680765.0,11783397.22,12644737.422600016,12630470.000740018,13028951.19973324,48426802.1
COCHIN RUBBERS,349594.0,224531.0,412383.0,939736.0,788029.0,167002.0,270485.0,1003415.0,425859.0,425784.52,426044.9593000002,426060.8496930003,425842.8846981304,788142.03
COCHIN SHIPYARD LTD.,19161618.0,21548811.0,6919396.0,2518765.0,14765725.0,3180654.0,1357177.0,618995.0,2031726.0,2030257.39,2029985.9577999965,2030819.374848999,2031359.748798596,14484937.33
COCHIN TRADERS,699790.0,960980.0,526653.0,931950.0,1219275.0,620100.0,1240200.0,286200.0,620100.0,620885.27,621370.9177000007,621883.8179949999,622102.0166507689,1218109.5829999999
COCO FIBRE TEX,26114.0,64548.0,65733.0,61440.0,72120.0,89560.0,22290.0,44850.0,84985.0,84981.98,84988.42880000014,84967.16780400006,84962.43104605,72074.33
COCO LATEX EXPORTS P. LTD.,667758.0,189432.0,8960.0,59763.0,135570.0,75186.0,34488.0,140820.0,25280.0,25296.13,25315.916899999964,25321.67768000001,25323.274964210013,135504.36
CORZA INTERNATIONAL,59810.0,188922.0,268614.0,299810.0,267597.0,323085.0,371565.0,438445.0,247825.0,248154.42,248258.68700000035,248330.1193659999,248409.5315198201,267691.36329999997
