iter	RMSE
0	13978153.74
1	12808388.55
2	11699383.74
3	10689155.77
4	9766634.487
5	8923963.005
6	8155546.485
7	7454487.228
8	6830591.382
9	6270878.03
10	5752413.288
11	5257922.343
12	4828874.819
13	4418765.17
14	4043236.605
15	3700835.523
16	3389809.792
17	3121741.205
18	2861199.902
19	2624123.022
20	2404613.71
21	2209233.58
22	2030969.023
23	1864363.604
24	1718174.506
25	1580817.14
26	1456025.446
27	1344864.902
28	1240716.524
29	1145866.239
30	1059543.155
31	981866.0762
32	911169.9877
33	845070.0323
34	787454.8206
35	732205.2422
36	684546.6589
37	639734.5698
38	599983.0717
39	562307.5563
40	528215.151
41	498604.5254
42	471575.174
43	447546.8778
44	425722.5135
45	405896.0082
46	387058.5773
47	370842.7264
48	356408.0942
49	344825.0518
50	333310.1375
51	320918.5234
52	309802.4206
53	299941.2656
54	291800.8096
55	281420.4768
56	273028.932
57	265892.1892
58	258021.5012
59	250496.269
60	244390.0963
61	239598.9421
62	234550.3406
63	230064.103
64	224734.1526
65	220591.1165
66	217554.2533
67	215487.3337
68	213245.2873
69	210492.7686
70	206405.4663
71	204685.1414
72	202324.5153
73	199915.8612
74	196382.7866
75	195004.1152
76	194162.8636
77	190779.305
78	187399.7186
79	185081.6508
80	183045.59
81	179999.1073
82	177928.8569
83	176962.4836
84	174077.6195
85	172178.0176
86	171404.3741
87	168778.6038
88	167820.0302
89	166565.0783
90	163731.9629
91	161053.9973
92	160337.0232
93	158293.8805
94	155797.8424
95	155195.1301
96	152945.6303
97	150559.445
98	148157.8554
99	145874.4962
100	143990.7049
101	141660.9136
102	140549.8917
103	138432.0547
104	137428.275
105	135413.6765
106	134885.5076
107	132954.2028
108	131394.8919
109	130368.0073
110	129010.2531
111	128013.7775
112	126708.3269
113	125556.0145
114	124959.4189
115	124397.4495
116	123311.2973
117	121709.2005
118	121214.4951
119	119685.6487
120	118850.2841
121	118401.6592
122	117530.3745
123	116090.7627
124	115629.7949
125	114163.2556
126	112764.604
127	111373.0461
128	110206.6517
129	108856.0047
130	108088.7299
131	107010.5775
132	105987.6713
133	104758.5762
134	104192.2361
135	103244.6302
136	102394.4425
137	101960.0116
138	101064.3354
139	100596.2203
140	100191.8135
141	99335.5743
142	98663.41655
143	98319.68838
144	97853.4336
145	97508.13169
146	96843.5712
147	96026.92725
148	95613.69166
149	94711.71763
150	93565.07908
151	92470.98309
152	91427.02582
153	91013.79684
154	90025.70331
155	89082.80406
156	88183.09175
157	87273.78672
158	86408.52784
159	85953.30816
160	85203.02439
161	84553.07127
162	83764.63238
163	83202.10016
164	82678.2964
165	81965.04467
166	81285.01809
167	80636.73367
168	80307.71446
169	80015.43628
170	79349.18759
171	78715.99516
172	78275.30341
173	77986.64675
174	77378.39155
175	77030.86566
176	76108.04947
177	75775.45484
178	74993.35968
179	74421.44085
180	73890.40642
181	73351.80719
182	72840.94572
183	72551.82764
184	71980.72081
185	71414.58944
186	70538.80431
187	70087.11882
188	69838.09952
189	69609.53813
190	69163.97
191	68815.93705
192	68261.63406
193	67957.40695
194	67770.87908
195	66884.64604
196	66498.23653
197	66269.55524
198	66060.48459
199	65901.19269
200	65670.37834
201	65314.25859
202	65114.81193
203	64825.58879
204	64315.98744
205	64046.47148
206	63307.11809
207	63056.52369
208	62864.8502
209	62696.37815
210	62227.39171
211	61959.67087
212	61745.32176
213	61022.74593
214	60805.89647
215	60458.56625
216	60045.22049
217	59817.00831
218	59668.13368
219	59322.64011
220	59189.84161
221	58492.48303
222	58301.96549
223	58052.95775
224	57720.97451
225	57328.40518
226	56699.58181
227	56126.62893
228	55616.86718
229	55052.00363
230	54787.74435
231	54399.69735
232	54282.91317
233	53997.16897
234	53806.1104
235	53513.97531
236	53300.44049
237	52961.21928
238	52844.52243
239	52576.49246
240	52484.95901
241	52290.90785
242	51882.18846
243	51506.27771
244	51266.26856
245	50980.20602
246	50819.27051
247	50497.75555
248	50221.06842
249	49928.54689
250	49363.20141
251	48896.9908
252	48394.83775
253	48205.68134
254	47780.71389
255	47314.96871
256	47092.31789
257	47014.45249
258	46846.31967
259	46629.89047
260	46303.79157
261	46031.09873
262	45835.02131
263	45464.1787
264	45005.08363
265	44830.62281
266	44389.37164
267	44270.93559
268	43999.88724
269	43864.38266
270	43606.20829
271	43361.0739
272	42957.09883
273	42761.15569
274	42530.84956
275	42307.04995
276	42230.0614
277	41984.50885
278	41736.03616
279	41513.61525
280	41368.28607
281	41304.80218
282	40956.53989
283	40750.09202
284	40593.78482
285	40399.12976
286	40279.18743
287	40065.9189
288	39863.39708
289	39671.0532
290	39528.4705
291	39260.87346
292	38912.79674
293	38730.70659
294	38631.18899
295	38555.45401
296	38428.51754
297	38286.51052
298	38144.12006
299	38019.85731
300	37838.99919
301	37709.12966
302	37471.73051
303	37304.42814
304	37081.21558
305	36902.29346
306	36595.4798
307	36443.49506
308	36197.66748
309	35938.00087
310	35750.91778
311	35634.88638
312	35481.99028
313	35321.70672
314	35243.43566
315	35142.45886
316	35041.99903
317	34879.87559
318	34801.37803
319	34654.96849
320	34562.32398
321	34442.90237
322	34372.59932
323	34205.72456
324	34040.00994
325	33897.71851
326	33816.83038
327	33651.74582
328	33544.16612
329	33447.77991
330	33366.14023
331	33262.00803
332	33168.08964
333	33010.17575
334	32940.72085
335	32786.49497
336	32640.8576
337	32549.19663
338	32390.56987
339	32263.26735
340	32125.98303
341	31977.87175
342	31842.40527
343	31711.8143
344	31602.03818
345	31547.64648
346	31496.36164
347	31401.06034
348	31252.96105
349	31198.84018
350	31059.20222
351	30927.60308
352	30813.17094
353	30761.36124
354	30652.72554
355	30443.79197
356	30338.07373
357	30187.59942
358	30112.61402
359	30046.8615
360	29946.42607
361	29796.0033
362	29727.21334
363	29673.57195
364	29604.16957
365	29499.53465
366	29424.85964
367	29338.02639
368	29278.42221
369	29084.75198
370	28990.60824
371	28877.9603
372	28771.62888
373	28671.18502
374	28617.78529
375	28524.08069
376	28389.91337
377	28326.12221
378	28190.61536
379	28142.77295
380	28097.53307
381	27999.59988
382	27934.80497
383	27848.31173
384	27737.952
385	27693.27049
386	27607.18582
387	27524.99782
388	27429.694
389	27349.979
390	27272.98863
391	27186.64977
392	27107.9461
393	27033.25096
394	26933.02038
395	26841.2799
396	26789.61661
397	26734.74001
398	26668.58697
399	26612.62874
400	26532.45955
401	26440.08263
402	26301.00961
403	26227.88868
404	26166.08121
405	26106.44885
406	26039.92111
407	25997.28489
408	25940.98489
409	25849.91666
410	25792.71645
411	25719.36431
412	25651.3648
413	25613.89568
414	25561.86791
415	25492.67529
416	25388.03525
417	25326.62965
418	25232.69254
419	25149.49678
420	25099.82705
421	25069.76015
422	25016.64399
423	24965.37473
424	24929.65514
425	24841.8811
426	24790.34609
427	24740.98454
428	24643.9309
429	24553.13767
430	24436.13834
431	24358.51258
432	24274.14242
433	24166.0599
434	24082.39849
435	24004.44102
436	23957.40005
437	23880.44988
438	23812.75965
439	23730.72502
440	23657.78693
441	23603.81538
442	23549.64663
443	23455.92822
444	23415.6879
445	23364.89284
446	23296.54612
447	23194.29567
448	23154.25656
449	23090.34076
450	22992.42642
451	22938.90131
452	22886.5239
453	22849.48817
454	22802.8467
455	22742.72932
456	22692.38941
457	22650.50801
458	22615.07602
459	22582.27932
460	22534.02761
461	22462.18909
462	22387.46228
463	22316.69569
464	22249.66731
465	22174.61938
466	22110.83608
467	22045.5093
468	21982.94458
469	21923.7899
470	21867.82994
471	21814.86756
472	21764.15567
473	21716.1284
474	21670.21918
475	21626.68115
476	21566.36665
477	21524.68516
478	21485.07909
479	21413.08695
480	21347.28045
481	21309.38673
482	21273.4951
483	21175.03309
484	21140.70759
485	21108.18779
486	21040.12185
487	20970.21958
488	20907.06806
489	20872.25833
490	20839.60815
491	20808.73078
492	20783.13871
493	20752.84975
494	20698.46738
495	20653.5911
496	20592.28178
497	20565.41538
498	20539.9644
499	20414.97857
500	20301.35077
501	20213.04521
502	20163.09768
503	20105.44421
504	20077.32265
505	20031.89395
506	19964.67848
507	19879.23777
508	19826.18625
509	19781.16978
510	19748.4561
511	19695.26498
512	19660.17644
513	19603.15244
514	19515.43571
515	19435.7408
516	19350.82296
517	19279.67759
518	19221.45762
519	19158.46627
520	19112.54432
521	19088.70079
522	19038.88754
523	19016.15414
524	18976.13864
525	18954.59153
526	18906.00697
527	18861.56564
528	18818.64379
529	18798.02727
530	18763.95031
531	18724.24774
532	18705.05373
533	18639.7531
534	18621.59787
535	18571.9897
536	18532.22433
537	18514.93728
538	18423.10948
539	18388.02691
540	18304.01913
541	18274.75578
542	18241.74199
543	18211.48256
544	18182.99152
545	18166.85184
546	18151.59533
547	18113.66678
548	18070.79341
549	18043.1327
550	18006.81442
551	17980.87417
552	17956.41411
553	17942.45085
554	17898.6425
555	17857.23556
556	17834.23997
557	17784.4138
558	17695.88904
559	17652.58645
560	17628.49801
561	17560.63536
562	17496.40597
563	17455.22632
564	17388.92951
565	17326.9183
566	17313.44028
567	17300.68121
568	17288.59937
569	17248.50495
570	17237.03007
571	17193.63933
572	17163.49642
573	17143.57253
574	17090.87272
575	17069.02807
576	17034.82005
577	16990.82933
578	16954.86308
579	16910.44645
580	16870.35997
581	16843.96429
582	16810.58244
583	16760.64882
584	16741.0957
585	16729.05512
586	16700.97892
587	16664.32215
588	16626.63183
589	16567.33348
590	16536.49137
591	16510.87042
592	16455.70426
593	16419.01724
594	16401.92208
595	16361.39245
596	16326.69683
597	16296.28361
598	16242.27397
599	16197.38872
600	16141.56804
601	16130.24186
602	16107.19198
603	16096.4513
604	16069.37956
605	16059.19458
606	16043.92737
607	15996.20995
608	15965.06907
609	15940.10828
610	15893.04204
611	15820.7276
612	15810.25431
613	15800.02813
614	15791.11072
615	15765.40776
616	15719.41424
617	15656.27687
618	15600.28146
619	15591.10976
620	15546.21007
621	15521.44883
622	15476.5895
623	15446.68072
624	15416.88134
625	15385.58454
626	15345.02278
627	15319.20128
628	15264.79248
629	15256.55416
630	15224.88292
631	15202.87914
632	15148.39857
633	15124.30373
634	15091.22739
635	15057.19265
636	15028.9775
637	15003.28807
638	14972.81975
639	14933.72413
640	14914.05955
641	14881.73254
642	14859.80402
643	14829.78655
644	14789.59093
645	14778.99076
646	14754.15285
647	14725.23004
648	14676.51521
649	14653.6066
650	14627.53109
651	14591.60673
652	14554.92647
653	14519.25033
654	14498.22463
655	14477.45181
656	14449.9087
657	14421.45058
658	14400.97385
659	14378.25342
660	14353.08912
661	14333.56363
662	14310.21979
663	14291.97214
664	14267.35222
665	14239.00895
666	14213.86984
667	14164.70086
668	14156.30371
669	14138.17983
670	14108.96689
671	14080.41372
672	14072.92747
673	14030.33111
674	13983.6937
675	13973.1576
676	13953.59186
677	13928.25907
678	13887.83596
679	13830.51622
680	13797.38618
681	13775.56827
682	13754.60095
683	13723.66775
684	13702.39012
685	13665.7364
686	13631.89258
687	13614.97301
688	13590.79189
689	13572.39958
690	13544.09835
691	13527.26498
692	13480.10124
693	13433.10677
694	13425.93327
695	13395.9229
696	13376.21882
697	13349.73952
698	13330.81359
699	13300.46163
700	13280.536
701	13256.55065
702	13234.29304
703	13201.53253
704	13181.91279
705	13166.68513
706	13142.17913
707	13105.41186
708	13085.93469
709	13057.30301
710	13039.52035
711	13015.99374
712	12994.76566
713	12986.25125
714	12936.59728
715	12911.75204
716	12890.98548
717	12857.95425
718	12840.33042
719	12820.20332
720	12789.34856
721	12772.31983
722	12755.94157
723	12729.75178
724	12713.65301
725	12691.01949
726	12662.76971
727	12646.89054
728	12634.60869
729	12587.24209
730	12565.18553
731	12548.10653
732	12526.35117
733	12512.40477
734	12496.90735
735	12468.04265
736	12451.59924
737	12420.40899
738	12395.27968
739	12362.73427
740	12356.23092
741	12335.6938
742	12320.70544
743	12275.82525
744	12246.53232
745	12230.34563
746	12222.62495
747	12204.6322
748	12173.28661
749	12153.09053
750	12138.93757
751	12098.25498
752	12080.92814
753	12062.74104
754	12033.80672
755	12011.49719
756	12005.97505
757	11948.84085
758	11924.09434
759	11889.69273
760	11875.6178
761	11860.01301
762	11844.18316
763	11835.32026
764	11812.44759
765	11795.51762
766	11776.28655
767	11759.58144
768	11753.67496
769	11747.29946
770	11725.9035
771	11711.48927
772	11692.49214
773	11686.77191
774	11668.8584
775	11653.22822
776	11638.89378
777	11627.86368
778	11602.59298
779	11577.42072
780	11556.85175
781	11531.45484
782	11510.68831
783	11477.0167
784	11459.52855
785	11424.51368
786	11390.67373
787	11385.3963
788	11362.42301
789	11358.08447
790	11341.58728
791	11333.48621
792	11303.06559
793	11298.3934
794	11277.77852
795	11249.78603
796	11228.41452
797	11223.98325
798	11195.44085
799	11172.38703
800	11168.29055
801	11145.98785
802	11119.52813
803	11098.10118
804	11086.58623
805	11067.73303
806	11046.50423
807	11026.24085
808	11010.84071
809	10987.8462
810	10973.1821
811	10955.48344
812	10925.92026
813	10916.56935
814	10899.72664
815	10884.266
816	10854.74968
817	10837.14902
818	10808.12757
819	10792.31716
820	10777.6686
821	10759.02064
822	10744.85689
823	10726.15693
824	10716.28816
825	10703.00076
826	10678.42375
827	10648.59777
828	10623.42472
829	10600.40076
830	10581.88471
831	10566.39631
832	10539.2691
833	10517.53556
834	10497.10473
835	10474.31712
836	10462.55859
837	10432.00877
838	10420.32799
839	10399.27391
840	10388.74833
841	10369.21737
842	10353.81544
843	10338.10824
844	10320.08822
845	10316.69312
846	10291.01367
847	10272.35556
848	10258.29055
849	10254.44298
850	10241.82122
851	10224.05219
852	10213.97699
853	10178.04314
854	10164.10578
855	10144.79178
856	10126.35025
857	10106.9924
858	10090.98371
859	10078.94458
860	10060.42146
861	10041.72873
862	10013.09164
863	10000.91702
864	9980.610583
865	9966.544306
866	9941.83853
867	9930.56088
868	9914.009952
869	9900.258869
870	9887.817068
871	9871.337395
872	9851.305438
873	9836.693741
874	9821.602734
875	9806.595571
876	9786.237472
877	9768.718637
878	9755.574123
879	9742.684928
880	9718.501762
881	9711.987759
882	9688.349882
883	9674.968541
884	9663.734014
885	9650.119676
886	9635.837045
887	9624.067414
888	9609.794078
889	9587.999331
890	9584.624272
891	9568.177593
892	9564.99309
893	9554.32687
894	9541.186013
895	9538.14729
896	9525.835413
897	9520.226308
898	9511.505183
899	9499.656808
900	9487.126649
901	9467.546759
902	9453.474882
903	9432.427229
904	9418.314666
905	9404.691721
906	9391.723453
907	9378.124388
908	9353.060443
909	9332.431162
910	9313.357028
911	9300.559608
912	9291.636109
913	9271.250238
914	9260.641057
915	9249.009258
916	9245.188094
917	9234.102611
918	9212.607231
919	9207.66131
920	9190.745428
921	9182.536385
922	9169.802524
923	9151.143643
924	9133.292195
925	9117.168774
926	9106.224724
927	9088.491528
928	9076.18718
929	9050.171859
930	9035.732727
931	9025.033913
932	9008.29301
933	8992.440067
934	8988.681798
935	8979.890328
936	8959.057732
937	8942.94643
938	8927.150252
939	8911.562683
940	8902.300077
941	8886.715879
942	8871.990701
943	8860.292418
944	8850.415596
945	8839.52438
946	8817.26095
947	8804.497621
948	8793.565187
949	8784.429702
950	8770.953657
951	8756.915348
952	8744.849105
953	8732.170463
954	8716.830617
955	8703.968017
956	8696.162848
957	8682.636098
958	8680.545015
959	8671.198797
960	8659.23902
961	8649.958269
962	8641.890265
963	8629.043239
964	8604.694702
965	8582.377176
966	8571.584537
967	8561.088018
968	8547.644982
969	8533.430207
970	8520.158353
971	8509.538493
972	8498.544838
973	8486.480832
974	8474.686363
975	8452.437967
976	8442.016493
977	8425.38954
978	8414.58082
979	8400.333815
980	8390.404575
981	8370.25524
982	8357.371664
983	8340.390727
984	8324.325293
985	8309.38592
986	8290.400273
987	8283.325054
988	8277.976
989	8271.528694
990	8257.713107
991	8240.934298
992	8207.403169
993	8196.749297
994	8189.223581
995	8159.09421
996	8132.824039
997	8119.500682
998	8101.330592
999	8086.257806
