iter	Passed	Remaining
0	10	10496
1	68	34283
2	74	24672
3	78	19644
4	92	18355
5	96	15950
6	100	14233
7	105	13095
8	109	12105
9	114	11326
10	119	10704
11	125	10305
12	129	9832
13	134	9437
14	139	9178
15	144	8864
16	147	8524
17	151	8268
18	155	8048
19	160	7869
20	163	7641
21	168	7499
22	172	7339
23	176	7195
24	180	7045
25	186	6977
26	189	6834
27	192	6699
28	196	6568
29	201	6510
30	206	6441
31	209	6328
32	212	6217
33	217	6186
34	222	6123
35	226	6058
36	231	6013
37	235	5949
38	239	5907
39	243	5837
40	249	5839
41	253	5772
42	256	5707
43	263	5717
44	267	5671
45	270	5613
46	274	5560
47	280	5563
48	284	5515
49	287	5455
50	290	5398
51	295	5380
52	298	5324
53	300	5272
54	303	5221
55	307	5184
56	311	5147
57	314	5100
58	316	5054
59	320	5013
60	324	5001
61	328	4967
62	331	4927
63	335	4903
64	340	4893
65	343	4866
66	347	4838
67	351	4813
68	356	4813
69	360	4789
70	363	4757
71	368	4753
72	373	4747
73	377	4719
74	381	4699
75	384	4678
76	389	4665
77	392	4639
78	397	4633
79	402	4634
80	406	4616
81	410	4601
82	416	4596
83	421	4597
84	427	4601
85	434	4613
86	438	4599
87	441	4580
88	451	4620
89	455	4607
90	460	4597
91	465	4597
92	470	4584
93	474	4577
94	482	4593
95	487	4592
96	491	4573
97	496	4574
98	500	4559
99	504	4536
100	507	4521
101	514	4530
102	517	4508
103	521	4492
104	527	4492
105	530	4475
106	535	4466
107	538	4451
108	544	4450
109	549	4442
110	552	4425
111	557	4423
112	561	4409
113	565	4397
114	569	4379
115	575	4386
116	579	4375
117	582	4356
118	589	4366
119	594	4362
120	597	4343
121	601	4332
122	607	4330
123	610	4312
124	613	4297
125	617	4283
126	623	4287
127	626	4271
128	630	4255
129	634	4246
130	639	4242
131	642	4227
132	646	4213
133	653	4225
134	657	4214
135	662	4211
136	668	4210
137	672	4199
138	675	4182
139	678	4166
140	682	4156
141	685	4144
142	689	4130
143	692	4114
144	695	4098
145	700	4097
146	704	4086
147	707	4070
148	709	4054
149	714	4048
150	718	4038
151	721	4023
152	723	4007
153	726	3992
154	732	3990
155	735	3977
156	738	3963
157	741	3948
158	744	3937
159	749	3933
160	752	3920
161	755	3906
162	758	3892
163	763	3890
164	766	3878
165	769	3864
166	772	3851
167	775	3838
168	780	3839
169	784	3830
170	787	3817
171	790	3804
172	797	3811
173	801	3804
174	805	3795
175	811	3800
176	818	3806
177	825	3809
178	829	3805
179	834	3800
180	839	3798
181	846	3805
182	851	3802
183	858	3808
184	863	3803
185	868	3803
186	876	3808
187	879	3799
188	883	3792
189	890	3797
190	894	3788
191	897	3778
192	901	3767
193	906	3767
194	910	3758
195	916	3757
196	923	3764
197	927	3755
198	930	3745
199	936	3744
200	941	3742
201	944	3732
202	948	3722
203	954	3723
204	957	3713
205	960	3703
206	965	3700
207	970	3695
208	975	3691
209	979	3686
210	985	3685
211	988	3675
212	993	3671
213	1000	3673
214	1004	3667
215	1007	3658
216	1013	3657
217	1017	3649
218	1022	3644
219	1030	3653
220	1035	3650
221	1041	3648
222	1049	3655
223	1057	3662
224	1065	3670
225	1068	3660
226	1074	3660
227	1080	3659
228	1085	3653
229	1089	3647
230	1095	3645
231	1100	3641
232	1104	3635
233	1110	3636
234	1114	3627
235	1119	3623
236	1126	3626
237	1130	3619
238	1133	3609
239	1140	3611
240	1145	3607
241	1149	3601
242	1156	3602
243	1160	3594
244	1164	3587
245	1168	3580
246	1172	3574
247	1175	3565
248	1178	3555
249	1182	3547
250	1187	3544
251	1191	3536
252	1194	3526
253	1198	3519
254	1203	3516
255	1207	3508
256	1210	3498
257	1215	3494
258	1220	3491
259	1225	3488
260	1231	3487
261	1236	3482
262	1240	3476
263	1247	3477
264	1252	3473
265	1256	3465
266	1264	3472
267	1269	3466
268	1273	3460
269	1295	3503
270	1299	3496
271	1303	3488
272	1306	3479
273	1313	3479
274	1316	3471
275	1320	3463
276	1326	3461
277	1329	3453
278	1333	3445
279	1337	3440
280	1344	3441
281	1351	3440
282	1362	3450
283	1369	3453
284	1378	3458
285	1384	3456
286	1391	3458
287	1398	3456
288	1407	3461
289	1414	3462
290	1419	3459
291	1427	3460
292	1431	3454
293	1441	3460
294	1447	3458
295	1456	3463
296	1462	3462
297	1470	3464
298	1476	3462
299	1481	3456
300	1489	3458
301	1493	3452
302	1497	3444
303	1503	3441
304	1507	3434
305	1510	3426
